name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
I'll do,Cloudwater Brew Co.,2020,8,Double IPA,440,0,1,true,,Verdant Brewing co.,false,,
Jutsu,Bellwoods Brewery,2020,5.6,Pale Ale,473,0,1,true,,,false,,
Land Of Landings,Cloudwater Brew Co.,2020,6,New England IPA,440,0,1,true,,,false,,
You Do,Cloudwater Brew Co.,2020,8,Double IPA,440,0,1,true,,Verdant Brewing co.,false,,
Bird Tweets Trump Trump Tweets,Cloudwater Brew Co.,2020,5,New England Pale Ale,440,0,1,true,,,false,,
KBS Espresso,Founders,2020,12,Imperial Coffee Stout,355,1,1,false,,,true,,
Plant,Garage Beer co.,2020,8.8,Double IPA,440,0,1,true,,,false,,
Zintuki,The Wild Beer,2020,7.3,Wild Ale,330,1,1,false,,,false,,apple
Mosaic Escalator,Garage Beer co.,2020,8,Single Hop Double IPA,440,0,1,true,,,false,,
Patrons Project 4.07 // Drew Millward // Northern Tropics //Tropical IPA,Northern Monk,2020,7,Milkshake IPA,440,0,1,true,,,false,,
Amuse Cherry,The Wild Beer,2020,6,Fruited Sour,330,1,1,false,,,true,,cherries
Skip Town,Garage Beer co.,2020,6.5,IPA,440,0,1,true,,,false,,
Sourdough,The Wild Beer,2020,3.6,Wild Ale,330,0,1,true,,,true,oak,
Horse Power,Whiplash,2020,6.8,IPA,440,0,4,true,,,false,,
Centurion Centennial,Third Circle,2020,6,West Coast IPA,330,0,2,true,,,false,,
The American Dream,Brewtal Truth,2020,6.1,American IPA,500,0,1,true,60,,false,,
Exploded View Simcoe,O'Brother,2020,8,Double IPA,440,0,1,true,,,false,,
Rwandan Coffe Rye,Larkin's,2020,7,Coffe Rye IPA,440,0,1,true,,Catalyst,false,,
Heidrun ,White Hag,2020,6.5,Bock Beer,440,0,1,true,,,false,,
GALAXY Smash IPA,White Hag,2020,5.5,Smash IPA,440,0,1,true,,,false,,
STRATA Smash IPA,White Hag,2020,5.5,Smash IPA,440,0,1,true,,,false,,
Samhain,White Hag,2020,6.2,Pumpkin Ale,440,0,1,true,,,false,,
Shouting At Strangers,Wylam,2020,5.8,kviek Amber Ale,440,0,1,true,,,false,,
The Herd Bourbon Barrel Aged Quadrupel,Rye River,2020,13,Belgian Quadrupel,750,1,1,false,,,true,,
Mon Cherry,The Wild Beer,2020,6.3,Wild Sour Ale,330,0,1,true,,,false,,
Dr Todd,The Wild Beer,2020,9.7,Sour,330,1,1,false,,,true,,
Always Half Strange,Whiplash,2020,5.7,Belgian Pale,440,0,2,true,,,false,,
Backdrifts,Whiplash,2020,9,Oat Tripel,440,0,2,true,,,false,,
Grisette Traminer,Whiplash,2020,4.1,Grisette,440,0,2,true,,,false,,
Enso,Equilibrium,2020,8.2,Double IPA,440,0,1,true,,,false,,
